Senser01,Senser03,Senser02
0,-3180,0
1,-3180,0
2,-3180,0
3,-3179,0
4,-3179,0
5,-3179,0
6,-3178,0
7,-3178,0
8,-3178,0
9,-3177,0
10,-3177,0
11,-3177,0
12,-3177,0
13,-3176,0
14,-3176,0
15,-3176,0
16,-3175,0
17,-3175,0
18,-3175,0
19,-3174,0
20,-3174,0
21,-3174,0
22,-3174,0
23,-3173,0
24,-3173,0
25,-3173,0
26,-3172,0
27,-3172,0
28,-3172,0
29,-3171,0
30,-3171,0
31,-3171,0
32,-3171,0
33,-3170,0
34,-3170,0
35,-3170,0
36,-3169,0
37,-3169,0
38,-3169,0
39,-3168,0
40,-3168,0
41,-3168,0
42,-3168,0
43,-3167,0
44,-3167,0
45,-3167,0
46,-3166,0
47,-3166,0
48,-3166,0
49,-3165,0
50,-3165,0
51,-3165,0
52,-3165,0
53,-3164,0
54,-3164,0
55,-3164,0
56,-3163,0
57,-3163,0
58,-3163,0
59,-3162,0
60,-3162,0
61,-3162,0
62,-3162,0
63,-3161,0
64,-3161,0
65,-3161,0
66,-3160,0
67,-3160,0
68,-3160,0
69,-3159,0
70,-3159,0
71,-3159,0
72,-3159,0
73,-3158,0
74,-3158,0
75,-3158,0
76,-3157,0
77,-3157,0
78,-3157,0
79,-3156,0
80,-3156,0
81,-3156,0
82,-3156,0
83,-3155,0
84,-3155,0
85,-3155,0
86,-3154,0
87,-3154,0
88,-3154,0
89,-3153,0
90,-3153,0
91,-3153,0
92,-3153,0
93,-3152,0
94,-3152,0
95,-3152,0
96,-3151,0
97,-3151,0
98,-3151,0
99,-3150,0
100,-3150,0
101,-3150,0
102,-3150,0
103,-3149,0
104,-3149,0
105,-3149,0
106,-3148,0
107,-3148,0
108,-3148,0
109,-3147,0
110,-3147,0
111,-3147,0
112,-3147,0
113,-3146,0
114,-3146,0
115,-3146,0
116,-3145,0
117,-3145,0
118,-3145,0
119,-3144,0
120,-3144,0
121,-3144,0
122,-3144,0
123,-3143,0
124,-3143,0
125,-3143,0
126,-3142,0
127,-3142,0
128,-3142,0
129,-3141,0
130,-3141,0
131,-3141,0
132,-3141,0
133,-3140,0
134,-3140,0
135,-3140,0
136,-3139,0
137,-3139,0
138,-3139,0
139,-3138,0
140,-3138,0
141,-3138,0
142,-3138,0
143,-3137,0
144,-3137,0
145,-3137,0
146,-3136,0
147,-3136,0
148,-3136,0
149,-3135,0
150,-3135,0
151,-3135,0
152,-3135,0
153,-3134,0
154,-3134,0
155,-3134,0
156,-3133,0
157,-3133,0
158,-3133,0
159,-3132,0
160,-3132,0
161,-3132,0
162,-3132,0
163,-3131,0
164,-3131,0
165,-3131,0
166,-3130,0
167,-3130,0
168,-3130,0
169,-3129,0
170,-3129,0
171,-3129,0
172,-3129,0
173,-3128,0
174,-3128,0
175,-3128,0
176,-3127,0
177,-3127,0
178,-3127,0
179,-3126,0
180,-3126,0
181,-3126,0
182,-3126,0
183,-3125,0
184,-3125,0
185,-3125,0
186,-3124,0
187,-3124,0
188,-3124,0
189,-3123,0
190,-3123,0
191,-3123,0
192,-3123,0
193,-3122,0
194,-3122,0
195,-3122,0
196,-3121,0
197,-3121,0
198,-3121,0
199,-3120,0
200,-3120,0
201,-3120,0
202,-3120,0
203,-3119,0
204,-3119,0
205,-3119,0
206,-3118,0
207,-3118,0
208,-3118,0
209,-3117,0
210,-3117,0
211,-3117,0
212,-3117,0
