Senser01,Senser03,Senser02
0,-3982,0
1,-3986,0
2,-3989,0
3,-3993,0
4,-3996,0
5,-3999,0
6,-4003,0
7,-4006,0
8,-4010,0
9,-4013,0
10,-4017,0
11,-4021,0
12,-4024,0
13,-4028,0
14,-4031,0
15,-4034,0
16,-4038,0
17,-4041,0
18,-4045,0
19,-4048,0
20,-4052,0
21,-4055,0
22,-4058,0
23,-4062,0
24,-4065,0
25,-4069,0
26,-4072,0
27,-4075,0
28,-4079,0
29,-4082,0
30,-4085,0
31,-4089,0
32,-4092,0
33,-4096,0
34,-4098,0
35,-4102,0
36,-4106,0
37,-4108,0
38,-4112,0
39,-4115,0
40,-4118,0
41,-4122,0
42,-4125,0
43,-4128,0
44,-4131,0
45,-4135,0
46,-4138,0
47,-4141,0
48,-4145,0
49,-4147,0
50,-4151,0
51,-4154,0
52,-4157,0
53,-4161,0
54,-4163,0
55,-4167,0
56,-4170,0
57,-4173,0
58,-4176,0
59,-4179,0
60,-4182,0
61,-4186,0
62,-4188,0
63,-4192,0
64,-4194,0
65,-4198,0
66,-4201,0
67,-4204,0
68,-4207,0
69,-4210,0
70,-4213,0
71,-4217,0
72,-4219,0
73,-4222,0
74,-4225,0
75,-4228,0
76,-4232,0
77,-4234,0
78,-4237,0
79,-4240,0
80,-4243,0
81,-4246,0
82,-4249,0
83,-4252,0
84,-4255,0
85,-4258,0
86,-4261,0
87,-4264,0
88,-4267,0
89,-4269,0
90,-4272,0
91,-4276,0
92,-4278,0
93,-4281,0
94,-4284,0
95,-4287,0
96,-4290,0
97,-4292,0
98,-4295,0
99,-4298,0
100,-4301,0
101,-4304,0
102,-4306,0
103,-4309,0
104,-4312,0
105,-4315,0
106,-4318,0
107,-4320,0
108,-4323,0
109,-4326,0
110,-4329,0
111,-4332,0
112,-4334,0
113,-4337,0
114,-4339,0
115,-4342,0
116,-4345,0
117,-4347,0
118,-4350,0
119,-4353,0
120,-4356,0
121,-4358,0
122,-4361,0
123,-4364,0
124,-4366,0
125,-4369,0
126,-4372,0
127,-4374,0
128,-4377,0
129,-4379,0
130,-4382,0
131,-4385,0
132,-4387,0
133,-4389,0
134,-4392,0
135,-4394,0
136,-4397,0
137,-4399,0
138,-4402,0
139,-4404,0
140,-4407,0
141,-4410,0
142,-4412,0
143,-4415,0
144,-4417,0
145,-4419,0
146,-4422,0
147,-4424,0
148,-4427,0
149,-4429,0
150,-4431,0
151,-4434,0
152,-4436,0
153,-4439,0
154,-4441,0
155,-4443,0
156,-4446,0
157,-4448,0
158,-4451,0
159,-4453,0
160,-4455,0
161,-4458,0
162,-4460,0
163,-4462,0
164,-4464,0
165,-4467,0
166,-4469,0
167,-4471,0
168,-4474,0
169,-4476,0
170,-4478,0
171,-4481,0
172,-4482,0
173,-4485,0
174,-4487,0
175,-4489,0
176,-4492,0
177,-4493,0
178,-4496,0
179,-4498,0
180,-4500,0
181,-4502,0
182,-4504,0
183,-4507,0
184,-4508,0
185,-4511,0
186,-4513,0
187,-4515,0
188,-4517,0
189,-4519,0
190,-4521,0
191,-4524,0
192,-4525,0
193,-4528,0
194,-4529,0
195,-4532,0
196,-4534,0
