Senser01,Senser02,Senser03,Senser04
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
2,0,0,0
6,0,0,0
9,0,0,0
12,0,0,0
16,0,0,0
20,0,0,0
24,0,2,0
28,0,9,0
38,0,45,0
44,0,69,0
52,0,97,0
59,0,124,0
66,0,151,0
73,0,179,0
80,0,210,0
88,0,239,0
96,0,271,0
104,0,299,0
112,0,331,0
120,0,364,0
128,0,393,0
136,0,424,0
144,0,452,0
151,1,480,0
159,1,510,0
166,2,537,0
174,2,565,0
180,3,589,0
187,4,610,0
194,5,634,0
202,6,664,0
209,7,690,0
217,8,718,0
225,8,749,0
233,9,775,0
240,9,802,0
248,10,829,0
254,10,851,0
262,10,875,0
269,11,899,0
276,11,925,0
284,11,950,0
292,12,976,0
300,12,1000,0
308,12,1027,0
316,13,1053,0
324,14,1080,0
332,14,1107,0
340,15,1131,0
347,16,1153,0
354,17,1177,0
362,18,1199,0
370,18,1225,0
378,18,1249,0
385,18,1270,0
392,18,1291,0
400,19,1312,0
407,20,1335,0
414,20,1355,0
422,20,1377,0
430,20,1399,0
438,20,1420,0
447,20,1446,0
455,20,1468,0
463,20,1490,0
472,20,1511,0
480,21,1533,0
488,21,1552,0
496,21,1571,0
504,21,1591,0
511,22,1610,0
519,22,1629,0
528,23,1649,0
536,24,1669,0
544,25,1686,0
552,25,1705,0
560,26,1724,0
568,26,1742,0
576,27,1758,0
584,27,1776,0
592,27,1791,0
600,28,1808,0
608,28,1824,0
614,28,1838,0
622,29,1852,0
630,29,1868,0
638,29,1883,0
646,30,1898,0
654,30,1911,0
662,30,1926,0
670,31,1940,0
678,31,1953,0
688,31,1969,0
696,32,1981,0
704,33,1993,0
711,34,2006,0
719,36,2017,0
726,37,2028,0
733,38,2038,0
741,39,2049,0
748,39,2058,0
