Senser01,Senser02,Senser03,Senser04
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
1,0,1,0
26,0,1,0
32,0,-26,0
58,0,-72,0
85,0,-135,0
114,0,-206,0
141,0,-268,0
169,0,-334,0
197,0,-367,0
226,0,-451,0
260,0,-533,0
291,0,-621,0
320,0,-716,0
353,0,-826,0
386,0,-942,0
416,0,-1047,0
447,0,-1158,0
476,0,-1260,0
505,-1,-1367,0
534,-1,-1487,0
566,-2,-1609,0
597,-2,-1740,0
629,-3,-1860,0
659,-3,-1986,0
691,-3,-2119,0
722,-3,-2260,0
755,-3,-2404,0
785,-3,-2545,0
818,-3,-2682,0
850,-3,-2828,0
881,-3,-2965,0
913,-3,-3107,0
943,-3,-3245,0
973,-3,-3389,0
1002,-3,-3518,0
1032,-3,-3664,0
1063,-2,-3805,0
1094,-2,-3933,0
1126,-2,-4041,0
1156,-2,-4146,0
1189,-2,-4247,0
1221,-2,-4349,0
1254,-2,-4447,0
1287,-2,-4526,0
1319,-3,-4593,0
1350,-3,-4654,0
1380,-3,-4707,0
1411,-3,-4749,0
1441,-3,-4780,0
1473,-3,-4799,0
1504,-3,-4813,0
1535,-3,-4826,0
1564,-3,-4835,0
1593,-3,-4844,0
1622,-3,-4851,0
1654,-3,-4860,0
1686,-4,-4871,0
1718,-4,-4880,0
1749,-4,-4890,0
1782,-4,-4901,0
1815,-4,-4911,0
1847,-4,-4919,0
1879,-4,-4926,0
1911,-4,-4927,0
1941,-3,-4927,0
1971,-2,-4927,0
2002,-1,-4927,0
2034,-1,-4931,0
2066,-1,-4940,0
2096,-1,-4950,0
2126,-1,-4953,0
2158,-1,-4955,0
2189,-1,-4957,0
2221,-1,-4957,0
2255,-1,-4957,0
2287,-1,-4957,0
2320,-1,-4958,0
2350,0,-4958,0
2382,0,-4959,0
2414,1,-4959,0
2446,2,-4959,0
2478,3,-4959,0
2510,3,-4959,0
2540,3,-4959,0
2571,3,-4959,0
2603,3,-4959,0
2633,3,-4959,0
2665,3,-4959,0
2697,3,-4960,0
2727,3,-4960,0
2758,3,-4960,0
2789,4,-4960,0
2820,4,-4960,0
2852,4,-4961,0
2884,4,-4961,0
2916,4,-4961,0
2949,4,-4963,0
